"country"	"color"
"AO"	"#E41A1C"
"BE"	"#3D72BF"
"CA"	"#40B252"
"CG"	"#7A6D92"
"CI"	"#D44D4B"
"CL"	"#FFCF05"
"CV"	"#DBD430"
"DE"	"#AD483E"
"DK"	"#FD8BCC"
"EE"	"#999999"
"ES"	"#8DD3C7"
"FI"	"#FFFFB3"
"FK"	"#BEBADA"
"FO"	"#FA8072"
"FR"	"#80B1D3"
"GA"	"#FDB362"
"GF"	"#B3DE69"
"GL"	"#FCCDE4"
"GN"	"#D9D9D9"
"GP"	"#BC80BD"
"GW"	"#66C2A5"
"IE"	"#FF8C56"
"IS"	"#B19B9C"
"IT"	"#A396DA"
"LT"	"#E68EB9"
"LV"	"#A8D05F"
"MA"	"#DDE02A"
"MQ"	"#FFCF53"
"MR"	"#D5BFA9"
"MU"	"#B3B3B3"
"NA"	"#1B9E77"
"NG"	"#DF5D00"
"NL"	"#91726A"
"NZ"	"#9853BF"
"PA"	"#E12E7C"
"PE"	"#6B9826"
"PL"	"#B7B803"
"PT"	"#E49308"
"RE"	"#8C6C29"
"SC"	"#666666"
"SE"	"#FBB4AE"
"SN"	"#B3C8E5"
"UY"	"#C5E9C6"
"YT"	"#D7D6E0"
"ZA"	"#EFCABF"
NA	"#FFEFB1"
NA	"#F4F6CA"
NA	"#E6D3C1"
NA	"#FFDCF1"
NA	"#F2F2F2"
